iter	Passed	Remaining
0	2	222
1	11	544
2	13	424
3	14	356
4	16	320
5	19	302
6	24	320
7	26	307
8	29	296
9	31	281
10	33	269
11	40	295
12	42	284
13	44	274
14	46	265
15	48	255
16	51	252
17	54	246
18	56	239
19	58	232
20	60	226
21	62	221
22	65	217
23	67	214
24	70	211
25	72	207
26	75	204
27	80	206
28	82	201
29	84	196
30	86	192
31	89	189
32	96	196
33	98	192
34	100	187
35	102	182
36	105	178
37	108	176
38	110	172
39	112	169
40	114	164
41	115	159
42	117	156
43	120	152
44	126	155
45	128	151
46	130	147
47	132	144
48	134	140
49	139	139
50	141	136
51	143	132
52	145	129
53	148	126
54	150	122
55	171	134
56	174	131
57	176	127
58	178	124
59	181	120
60	188	120
61	193	118
62	196	115
63	198	111
64	203	109
65	205	105
66	207	102
67	209	98
68	211	95
69	214	91
70	216	88
71	218	85
72	220	81
73	223	78
74	226	75
75	228	72
76	230	68
77	232	65
78	234	62
79	237	59
80	245	57
81	247	54
82	249	51
83	251	47
84	253	44
85	258	42
86	260	38
87	262	35
88	264	32
89	267	29
90	275	27
91	277	24
92	279	21
93	281	17
94	283	14
95	287	11
96	289	8
97	291	5
98	294	2
99	296	0
