iter	Passed	Remaining
0	141	141032
1	144	72063
2	146	48828
3	149	37191
4	151	30191
5	154	25590
6	156	22264
7	159	19740
8	161	17783
9	163	16206
10	165	14876
11	167	13775
12	169	12878
13	171	12075
14	173	11372
15	174	10755
16	176	10212
17	178	9728
18	180	9296
19	181	8911
20	184	8583
21	185	8261
22	187	7967
23	189	7701
24	191	7458
25	192	7227
26	194	7016
27	196	6817
28	198	6635
29	200	6469
30	201	6310
31	203	6159
32	205	6020
33	207	5885
34	208	5758
35	210	5639
36	212	5531
37	214	5425
38	216	5324
39	217	5226
40	219	5133
41	221	5046
42	223	4963
43	224	4883
44	226	4811
45	228	4738
46	230	4668
47	231	4600
48	233	4536
49	235	4475
50	237	4414
51	238	4355
52	241	4307
53	242	4252
54	244	4200
55	246	4149
56	247	4100
57	249	4052
58	251	4006
59	252	3961
60	254	3920
61	256	3879
62	258	3839
63	259	3800
64	261	3762
65	263	3725
66	265	3690
67	266	3656
68	268	3626
69	270	3594
70	272	3562
71	273	3530
72	275	3500
73	277	3471
74	279	3442
75	280	3415
76	282	3391
77	284	3364
78	286	3338
79	288	3314
80	289	3289
81	291	3264
82	292	3232
83	294	3209
84	296	3193
85	298	3171
86	300	3149
87	301	3129
88	303	3109
89	305	3089
90	307	3068
91	308	3048
92	310	3031
93	312	3012
94	314	2993
95	316	2976
96	317	2958
97	319	2940
98	321	2922
99	322	2905
100	324	2889
101	326	2874
102	328	2858
103	329	2842
104	331	2826
105	333	2811
106	335	2796
107	336	2781
108	338	2770
109	340	2756
110	342	2743
111	344	2728
112	345	2714
113	347	2701
114	349	2688
115	351	2676
116	352	2662
117	354	2650
118	356	2638
119	358	2625
120	359	2613
121	361	2599
122	362	2588
123	364	2576
124	366	2565
125	368	2554
126	369	2541
127	371	2530
128	373	2519
129	374	2508
130	376	2497
131	378	2486
132	380	2477
133	381	2466
134	383	2457
135	385	2447
136	387	2438
137	388	2428
138	390	2418
139	392	2409
140	393	2399
141	395	2387
142	396	2378
143	398	2369
144	400	2360
145	402	2352
146	403	2343
147	405	2334
148	407	2326
149	409	2319
150	411	2311
151	412	2303
152	414	2294
153	416	2286
154	418	2279
155	419	2272
156	421	2263
157	423	2256
158	425	2248
159	426	2240
160	427	2229
161	429	2222
162	431	2214
163	433	2207
164	434	2200
165	436	2194
166	438	2187
167	440	2180
168	442	2173
169	443	2167
170	445	2160
171	447	2153
172	449	2146
173	450	2140
174	452	2133
175	454	2127
176	456	2121
177	457	2114
178	459	2108
179	461	2102
180	463	2095
181	465	2090
182	466	2083
183	468	2077
184	470	2070
185	471	2064
186	473	2058
187	475	2052
188	477	2046
189	479	2042
190	480	2036
191	482	2031
192	484	2025
193	486	2019
194	487	2014
195	489	2008
196	491	2003
197	493	1999
198	495	1994
199	497	1988
200	498	1983
201	500	1977
202	502	1972
203	503	1966
204	505	1961
205	507	1956
206	509	1950
207	510	1945
208	512	1940
209	514	1935
210	516	1929
211	518	1925
212	520	1922
213	522	1917
214	523	1912
215	525	1907
216	527	1902
217	528	1897
218	530	1892
219	532	1886
220	534	1882
221	535	1877
222	537	1872
223	539	1868
224	540	1863
225	542	1858
226	544	1853
227	546	1848
228	547	1844
229	549	1840
230	551	1835
231	553	1830
232	554	1826
233	556	1821
234	558	1817
235	560	1812
236	561	1808
237	563	1804
238	565	1799
239	566	1795
240	568	1790
241	570	1786
242	571	1781
243	573	1777
244	575	1773
245	577	1769
246	579	1765
247	580	1761
248	582	1756
249	584	1752
250	585	1748
251	587	1744
252	589	1740
253	591	1736
254	592	1731
255	594	1727
256	596	1723
257	597	1719
258	599	1714
259	601	1711
260	602	1707
261	604	1703
262	606	1699
263	608	1695
264	609	1691
265	611	1687
266	613	1683
267	614	1679
268	616	1675
269	618	1671
270	620	1668
271	621	1664
272	623	1660
273	625	1656
274	626	1652
275	628	1648
276	630	1645
277	632	1641
278	634	1638
279	635	1634
280	637	1631
281	639	1627
282	640	1623
283	642	1619
284	644	1616
285	645	1612
286	647	1609
287	649	1605
288	651	1602
